date,cash_rate_target,interbank_overnight_cash_rate,six_month_bab_ncd
1-Aug-90,14,14.07,13.92
1-Sep-90,14,14.05,13.52
1-Oct-90,13.43,13.47,13.07
1-Nov-90,13,13.05,12.41
1-Dec-90,12.58,12.68,12.19
1-Jan-91,12,12.02,11.93
1-Feb-91,12,12.01,11.62
1-Mar-91,12,12.02,11.49
1-Apr-91,11.55,11.58,11.36
1-May-91,10.98,10.99,10.72
1-Jun-91,10.5,10.54,10.39
1-Jul-91,10.5,10.49,10.34
1-Aug-91,10.5,10.52,10.13
1-Sep-91,9.55,9.59,9.58
1-Oct-91,9.5,9.49,8.97
1-Nov-91,8.64,8.64,8.34
1-Dec-91,8.5,8.52,7.84
1-Jan-92,7.69,7.75,7.45
1-Feb-92,7.5,7.52,7.52
1-Mar-92,7.5,7.54,7.51
1-Apr-92,7.5,7.51,7.18
1-May-92,6.64,6.69,6.56
1-Jun-92,6.5,6.57,6.42
1-Jul-92,5.91,5.93,5.64
1-Aug-92,5.75,5.86,5.73
1-Sep-92,5.75,5.74,5.94
1-Oct-92,5.75,5.74,5.86
1-Nov-92,5.75,5.77,5.88
1-Dec-92,5.75,5.79,5.9
1-Jan-93,5.75,5.75,5.88
1-Feb-93,5.75,5.74,5.82
1-Mar-93,5.6,5.62,5.38
1-Apr-93,5.25,5.25,5.27
1-May-93,5.25,5.26,5.15
1-Jun-93,5.25,5.27,5.22
1-Jul-93,5.23,5.24,5.05
1-Aug-93,4.75,4.77,4.78
1-Sep-93,4.75,4.72,4.86
1-Oct-93,4.75,4.69,4.81
1-Nov-93,4.75,4.71,4.78
1-Dec-93,4.75,4.73,4.82
1-Jan-94,4.75,4.71,4.81
1-Feb-94,4.75,4.71,4.8
1-Mar-94,4.75,4.72,4.88
1-Apr-94,4.75,4.69,4.92
1-May-94,4.75,4.67,4.85
1-Jun-94,4.75,4.68,5.12
1-Jul-94,4.75,4.66,5.41
1-Aug-94,5.11,5.01,5.6
1-Sep-94,5.5,5.44,5.93
